alvo_data,teimosinha_n,min_hits,custo15,custo_total,payout_total,profit,PASS,win_at,best_hits
19/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
20/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
21/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
22/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
24/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
25/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
26/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
27/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
28/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
29/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
31/01/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
01/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
02/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
03/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
04/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
05/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
07/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
08/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
09/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
10/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
11/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
12/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
14/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
15/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
16/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
17/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
18/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
19/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
21/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
22/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
23/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
24/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
25/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
26/02/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
02/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
03/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
04/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
05/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
07/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
08/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
09/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
10/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
11/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
12/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,11
14/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
15/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
16/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,12
17/03/2022,37,14,2.5,370.0,0.0,-370.0,False,,13
